Section,Category,Count
Access Level,,
,Open,75
,Gated-Open,20
,Restricted,9
,Unavailable,1
,,
URL Status,,
,Live,95
,Live but broken,5
,Redirect,2
,Dead,2
,Live but gated,1
,,
License Type,,
,Not specified,67
,Custom Academic,14
,CC-BY-NC-4.0,12
,Apache-2.0,3
,CC-BY-4.0,2
,CC-BY-NC-SA-4.0,2
,S-Lab License,1
,Mixed,1
,Custom Open,1
,CC-BY-NC-ND-4.0,1
,CC-BY-SA-4.0,1
,,
Modality,,
,RGB video,105
,Eye gaze,31
,IMU,24
,Hand pose annotations,24
,Body pose annotations,22
,Depth (RGB-D),20
,Audio,19
,3D point clouds,14
,Narrations/captions,12
,SLAM/odometry,11
,3D scene reconstruction,8
,Depth (stereo),6
,Motion capture,6
,Optical flow,2
,3D hand pose annotations,1
,Object tracking,1
,Multi-view,1
,mmWave,1
,Hand masks,1
,,
Category,,
,Hand-object interaction,15
,Body pose,13
,Industrial and procedural,12
,Classic,10
,Action recognition,10
,Ego-exo cross-view,9
,Large-scale foundation,6
,Social interaction,6
,Gaze and eye tracking,6
,Navigation and localization,6
,3D reconstruction,3
,Object detection,3
,VQA and language,2
,Surgical,2
,Video generation,1
,Summarization,1
,,
Scale,,
,1000h+,9
,100-999h,10
,10-99h,18
,<10h,8
,Unknown,60
