Dataset Name,Issue Type,Description,Severity
EgoVid-5M,No License,Open data with no license specified.,Medium
GTEA,No License,Open data with no license specified.,Medium
GTEA Gaze,No License,Open data with no license specified.,Medium
EGTEA Gaze+,No License,Open data with no license specified.,Medium
ADL (Activities of Daily Living),No License,Open data with no license specified.,Medium
UEC Dataset,No License,Open data with no license specified.,Medium
First-Person Social Interactions (Disney),No License,Open data with no license specified.,Medium
BEOID,No License,Open data with no license specified.,Medium
DoMSEV,No License,Open data with no license specified.,Medium
EgoK360,No License,Open data with no license specified.,Medium
FPVO,Unverified Download,URL Status: Dead. Access: Unavailable.,High
HOI4D,No License,Open data with no license specified.,Medium
TACO,No License,Open data with no license specified.,Medium
OAKINK2,No License,Open data with no license specified.,Medium
Hand-Object Segments,No License,Open data with no license specified.,Medium
EgoHands,No License,Open data with no license specified.,Medium
EgoHumans,No License,Open data with no license specified.,Medium
UnrealEgo / UnrealEgo2,No License,Open data with no license specified.,Medium
UnrealEgo-RW,No License,Open data with no license specified.,Medium
CIRCLE,No License,Open data with no license specified.,Medium
EgoSim,Unverified Download,Download availability not confirmed.,High
EgoSim,No License,Open data with no license specified.,Medium
ADL4D,Unverified Download,Download availability not confirmed.,High
ADL4D,No License,Open data with no license specified.,Medium
VEDB,Unverified Download,Download availability not confirmed.,High
VEDB,No License,Open data with no license specified.,Medium
Object Search Dataset,No License,Open data with no license specified.,Medium
EgoCampus,Unverified Download,Download availability not confirmed.,High
EgoCampus,No License,Open data with no license specified.,Medium
Sanctuaria-Gaze,Unverified Download,Download availability not confirmed.,High
MECCANO,No License,Open data with no license specified.,Medium
ENIGMA-51,No License,Open data with no license specified.,Medium
ENIGMA-360,No License,Open data with no license specified.,Medium
IndustReal,No License,Open data with no license specified.,Medium
CaptainCook4D,No License,Open data with no license specified.,Medium
EgoProceL,No License,Open data with no license specified.,Medium
AssistQ,No License,Open data with no license specified.,Medium
EgoPER,No License,Open data with no license specified.,Medium
Egocentric-10K,No License,Open data with no license specified.,Medium
Egocentric-100K,No License,Open data with no license specified.,Medium
UTokyo Paired Ego-Video (PEV),No License,Open data with no license specified.,Medium
UTokyo Ego-Surf,No License,Open data with no license specified.,Medium
EasyCom,Unverified Download,Download availability not confirmed.,High
Multimodal Focused Interaction Dataset,No License,Open data with no license specified.,Medium
EgoExoLearn,No License,Open data with no license specified.,Medium
EgoExo-Fitness,No License,Open data with no license specified.,Medium
TF2023,No License,Open data with no license specified.,Medium
EPIC-Tent,No License,Open data with no license specified.,Medium
CASTLE 2024,No License,Open data with no license specified.,Medium
EgoMe,No License,Open data with no license specified.,Medium
MultiEgo,Unverified Download,Download availability not confirmed.,High
EgoSeg,No License,Open data with no license specified.,Medium
VINST / Visual Diaries,No License,Open data with no license specified.,Medium
EgoCart,No License,Open data with no license specified.,Medium
EGO-CH,No License,Open data with no license specified.,Medium
UNICT-VEDI,No License,Open data with no license specified.,Medium
CEN,Unverified Download,Download availability not confirmed.,High
EgoPAT3D,No License,Open data with no license specified.,Medium
EgoObjects,No License,Open data with no license specified.,Medium
TEgO,No License,Open data with no license specified.,Medium
Visual Market Basket Analysis,No License,Open data with no license specified.,Medium
EgoBlind,Unverified Download,Download availability not confirmed.,High
EgoTaskQA,No License,Open data with no license specified.,Medium
EgoSurgery,No License,Open data with no license specified.,Medium
EgoExOR,Unverified Download,Download availability not confirmed.,High
EgoSuite-Open100K (EgoStandard),Delivery Gap,"Approximately 10,757 of 90,000 planned hours delivered (12%), measured from the public bucket by size-to-duration regression and cross-checked by bitrate.",High
EgoSuite-Open100K (EgoPro),Delivery Gap,"Approximately 1,103 of 10,000 planned hours delivered (11%), measured from the public bucket.",High
EgoSuite-Open100K (EgoDemo),Metadata Mismatch,"Card advertises a 50-hour sample; publisher manifests total 79.54h across 2,712 episodes.",Medium
EgoSuite-Open100K (EgoStandard),Format Mismatch,"Card and project page advertise LeRobot v3 and MCAP; bucket is 376,637 of 376,638 files MCAP with zero LeRobot metadata.",Medium
EgoSuite-Open100K (EgoPro),Format Mismatch,Card advertises LeRobot v3 and MCAP; bucket is 100% MCAP.,Medium
EgoSuite-Open100K (EgoStandard),Undocumented Subset,"EgoStandard/rd (47,708 files, 4.42 TB) appears in no dataset card, documentation or DevKit reference.",Low
EgoSuite-Open100K (EgoStandard),Missing Technical Specs,Resolution and frame rate are not published by the vendor; measured by direct inspection of delivered MCAP.,Medium
EgoSuite-Open100K (EgoPro),Missing Technical Specs,Resolution and frame rate are not published by the vendor; measured by direct inspection.,Medium
EgoSuite-Open100K (EgoDemo),Missing Technical Specs,Resolution and frame rate are not published by the vendor; measured by ffprobe and LeRobot metadata.,Medium
EgoSuite-Open100K (EgoStandard),Calibration Gap,"DevKit documents a pre-undistortion distortion model, but distortion_model is empty and D is empty in every sampled episode and no camera_raw calibration topic is present.",Medium
EgoSuite-Open100K (EgoPro),Calibration Gap,Distortion parameters documented but not delivered; no camera_raw calibration topic in sampled episodes.,Medium
EgoSuite-Open100K (EgoDemo),Calibration Gap,Distortion parameters documented but not delivered in any sampled episode.,Medium
